channel_id,handle,title,subs,n,median,mean,skew,hit_rate,min_views,max_views,repeatable,views_per_sub,operator,operator_evidence,verdict,verdict_reason,criteria_version,status,notes,source,first_seen,last_checked
UCO_biEUmMGgKOYvTUfCu4Dw,geoexplainer123,Geography Explainer,1440,8,10515,30598,2.91,12.5,796,165624,False,7.3,unknown,,exemplar,"consistent and reachable: 1,440 subs, median 10,515, 7.3 views per subscriber, skew 2.9",2026-07-30.2,,,scan-rev2-channel-profiles.csv#geography,2026-07-30,2026-07-30
UClY6cYhhnzxDp1r9Nn-xwkg,,Invite English,117000,47,10391,12594,1.21,0.0,962,37529,False,0.09,unknown,,reject,"0.1 views per subscriber - it is not being served beyond its own audience, which is the only way a new channel grows",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCG3Eptha6hEISzZT7Azymdw,,J U M O K E   M I  |  Finance Nerd,93900,50,9548,32701,3.43,6.0,1830,426895,False,0.1,unknown,,reject,"lottery-shaped: mean is 3.4x the median, above 3.0",2026-07-30.2,,,C034-falsifier-profiles.csv#finance,2026-07-30,2026-07-30
UCdUGbVqhvhiOpwT4PhOcc3A,,A for Architecture,1360,6,9428,10773,1.14,0.0,2790,22370,False,6.93,unknown,,reject,only 6 long-form videos; need 8 to judge,2026-07-30.2,,,scan-rev2-channel-profiles.csv#architecture,2026-07-30,2026-07-30
UC8tWzyj5hJBCgucb6xb1MUw,,Peaceful English Stories,9110,49,9227,28301,3.07,10.2,241,220177,False,1.01,unknown,,reject,"lottery-shaped: mean is 3.1x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCdo0zvyWnZm75_dJ3wxlQow,,MRI Physics EXPLAINED,9250,23,8938,13013,1.46,0.0,439,57884,False,0.97,unknown,,reject,"median 8,938 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#physics,2026-07-30,2026-07-30
UCflLXCMNPbeMdhBYU4nf50A,,Deep Explained,6170,22,8775,36740,4.19,13.6,92,358018,False,1.42,unknown,,reject,"lottery-shaped: mean is 4.2x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#ocean,2026-07-30,2026-07-30
UC50ZNPApGB9NaMb3LpiNXkw,,Survival Core,2430,40,8108,39100,4.82,5.0,632,821658,False,3.34,unknown,,reject,"lottery-shaped: mean is 4.8x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#survival,2026-07-30,2026-07-30
UCvPHTfKAURSzIS0aWXaca2A,,Fun English with Nora,23300,50,8032,13010,1.62,2.0,4728,146052,False,0.34,unknown,,reject,"median 8,032 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCYE9kPttIDbjYICr-tYCuOA,,IAI explains complex aviation investigations,8790,34,7998,9272,1.16,0.0,1156,33773,False,0.91,unknown,,reject,"median 7,998 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCkQA8OxvAOFet9IED4qfnHQ,,Pinoy.PersonalFinance,11500,42,6918,8915,1.29,0.0,3,30950,False,0.6,unknown,,reject,"median 6,918 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,C034-falsifier-profiles.csv#finance,2026-07-30,2026-07-30
UCcIIZSOyBI-vNKk8xBpdyMQ,,Learn English with Parvi,44900,50,6914,13138,1.9,0.0,1005,89055,False,0.15,unknown,,reject,"median 6,914 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCbnSEQu6XprT-kUM5nVdOBA,,Spinoza's philosophy,27400,50,6668,13160,1.97,2.0,787,107488,False,0.24,unknown,,reject,"median 6,668 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
UCBsH2Z7t51RGmLQQDPvucwg,,Window English,150000,50,6422,25909,4.03,6.0,3489,343142,False,0.04,unknown,,reject,"lottery-shaped: mean is 4.0x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCSltv4Gp7mNJwf9jOWixOZA,,Ella English,56000,50,6110,6597,1.08,0.0,822,13217,False,0.11,unknown,,reject,"median 6,110 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UC5hxA0oLaqpP9VD7GdP3NWQ,,Science Hidden Files ,1550,14,5324,54706,10.27,7.1,1010,651049,False,3.43,unknown,,reject,"lottery-shaped: mean is 10.3x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#ocean,2026-07-30,2026-07-30
UCWTTG3E3FbfwV0Stq_b18fw,,Learn English Through Story,38600,50,5150,6739,1.31,0.0,1266,65138,False,0.13,unknown,,reject,"median 5,150 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCqaVo9DiHL1D8wzdtmK2RFg,,FAANG Senior Engineer,13100,27,5097,7223,1.42,0.0,932,40489,False,0.39,unknown,,reject,"median 5,097 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,C034-falsifier-profiles.csv#software,2026-07-30,2026-07-30
UCIDYQyBtblPBFzea98f4l0Q,,Slow English Stories,17400,48,4982,34283,6.88,6.2,762,682405,False,0.29,unknown,,reject,"lottery-shaped: mean is 6.9x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCvFcxb2Q_f3RhvHPcuWiSuQ,,Survival Curriculum,50600,50,4928,12673,2.57,4.0,628,197987,False,0.1,unknown,,reject,"median 4,928 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#survival,2026-07-30,2026-07-30
UCpDHRjbFsghZOiDtazcjZ7w,,True Crime Footnotes,21000,50,4825,22197,4.6,4.0,270,294266,False,0.23,unknown,,reject,"lottery-shaped: mean is 4.6x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCpq-MrYVThk2L2AHr1TiG2w,,Astha Suryavanshi | Your Biology Teacher,24100,50,4592,22422,4.88,10.0,683,191777,False,0.19,unknown,,reject,"lottery-shaped: mean is 4.9x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#biology,2026-07-30,2026-07-30
UC9r9ONCAPcEFKc0DUJJ68jQ,,Official Philosophy ,23200,50,4592,9978,2.17,2.0,1716,122865,False,0.2,unknown,,reject,"median 4,592 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
UCbfBFlMglqjaSIIRzTivB2Q,,Earth Basics,44900,50,4410,9037,2.05,0.0,762,62176,False,0.1,unknown,,reject,"median 4,410 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#geography,2026-07-30,2026-07-30
UCFN3F44NUQzkbPn9wgvgsFA,,Slow English Stories,5890,39,3912,33445,8.55,7.7,558,339481,False,0.66,unknown,,reject,"lottery-shaped: mean is 8.6x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCg5knEqLrU_XrrGkKj_8EPA,,Tom's Personal Finance,12400,50,3845,9253,2.41,2.0,726,100609,False,0.31,unknown,,reject,"median 3,845 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,C034-falsifier-profiles.csv#finance,2026-07-30,2026-07-30
UCAupfwD1A8jq7egFXeGoOGw,,Simple Psychology Explained,37500,37,3389,63853,18.84,5.4,324,1494547,False,0.09,unknown,,reject,"lottery-shaped: mean is 18.8x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#psychology,2026-07-30,2026-07-30
UCXmVj5NqGTsu3k4HNUv3WYQ,,Forensic Investigators,31000,29,3360,16952,5.05,3.4,769,131345,False,0.11,unknown,,reject,"lottery-shaped: mean is 5.0x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCwOkZmZFeiAiaxBPrpqpIpA,,Explain History,2740,50,3337,7663,2.3,0.0,172,76083,False,1.22,unknown,,reject,"median 3,337 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#history,2026-07-30,2026-07-30
UCgJf-ENGyKhcv6NKFFyOfcw,,Lucy English,5470,50,3150,3389,1.08,0.0,1830,10454,False,0.58,unknown,,reject,"median 3,150 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#language,2026-07-30,2026-07-30
UCAL2XAP9K4z1fV6Z1chfKhA,,True Mythology,9970,27,3002,13869,4.62,3.7,246,260893,False,0.3,unknown,,reject,"lottery-shaped: mean is 4.6x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#mythology,2026-07-30,2026-07-30
UC6hRrx1oRREi9FM7zpspi-A,,Machinery Explained,521,20,2994,14124,4.72,5.0,299,164149,False,5.75,unknown,,reject,"lottery-shaped: mean is 4.7x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#engineering,2026-07-30,2026-07-30
UCl3zJhrd5phKX640RV2yZNQ,,cacaca | Auto Detail & Car Care,2330,19,2602,21699,8.34,5.3,197,233431,False,1.12,unknown,,reject,"lottery-shaped: mean is 8.3x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#cars,2026-07-30,2026-07-30
UCwQ0JL_Ltt9KpUp7OmG1K3A,,Survival Story Zone,1850,14,2586,15540,6.01,7.1,121,170493,False,1.4,unknown,,reject,"lottery-shaped: mean is 6.0x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#survival,2026-07-30,2026-07-30
UCqdtXFhkh7FnrkUFtv1UFhQ,,True Crime Breakdown,46300,49,2541,5295,2.08,0.0,881,77378,False,0.05,unknown,,reject,"median 2,541 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#crime,2026-07-30,2026-07-30
UCS_V5I7u0rlYwDqhbXAqKZg,,Lemonn,24200,34,2309,4129,1.79,0.0,247,22013,False,0.1,unknown,,reject,"median 2,309 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,C034-falsifier-profiles.csv#investing,2026-07-30,2026-07-30
UCSl58G5qxGSJXNNn1Vw6O-w,,Civilizations Explained,4810,42,2296,20135,8.77,4.8,254,184942,False,0.48,unknown,,reject,"lottery-shaped: mean is 8.8x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#history,2026-07-30,2026-07-30
UCMBAd6BB7Q7HZ4rgDoGfhBg,,your other biology professor,4940,45,2258,3941,1.75,0.0,94,22283,False,0.46,unknown,,reject,"median 2,258 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#biology,2026-07-30,2026-07-30
UC9m6460HrlW7269a1pnmgOA,,Aviation Explained,6450,30,2248,29010,12.91,6.7,188,252269,False,0.35,unknown,,reject,"lottery-shaped: mean is 12.9x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#aviation,2026-07-30,2026-07-30
UCr4QZ-X0WhwrwMc7VUMsg3A,,Architectural Journey,2710,9,2190,10269,4.69,0.0,113,48499,False,0.81,unknown,,reject,"lottery-shaped: mean is 4.7x the median, above 3.0",2026-07-30.2,,,scan-rev2-channel-profiles.csv#architecture,2026-07-30,2026-07-30
UCMmoSxi4-rLVKi-E3qFy9IA,,Passive House School with Anton,2060,21,2019,3602,1.78,0.0,252,18617,False,0.98,unknown,,reject,"median 2,019 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#architecture,2026-07-30,2026-07-30
UCQfYuOrl6ETzCr9QJTBqxfw,,Psychology Studio,5070,50,1854,3432,1.85,0.0,194,25891,False,0.37,unknown,,reject,"median 1,854 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#psychology,2026-07-30,2026-07-30
UCdqYxe31nwmfDdlnpLsYRiQ,,Personal Finance TV,18300,22,1820,17721,9.74,4.5,279,171540,False,0.1,unknown,,reject,"lottery-shaped: mean is 9.7x the median, above 3.0",2026-07-30.2,,,C034-falsifier-profiles.csv#finance,2026-07-30,2026-07-30
UCtmInCH1cwYMecpzXqgX1lQ,,The Philosophy Guy,4370,20,1733,2171,1.25,0.0,602,8359,False,0.4,unknown,,reject,"median 1,733 views is below 10,000 - too small to be a viable model",2026-07-30.2,,,scan-rev2-channel-profiles.csv#philosophy,2026-07-30,2026-07-30
